"year","zone","destination","method","mean"
"2007","S01001791","Police Station","Car","3.5"
"2009","S01001791","Post Office","Car","1.5"
"2007","S01001791","Post Office","Car","3.7"
"2006","S01001791","Post Office","Car","3.7"
"2009","S01001791","Bank Or Building Society","Car","1.5"
"2009","S01001791","General Store","Car","5.9"
"2003","S01001791","Post Office","Car","5.1"
"2009","S01001791","Cash Machine","Public Transport","30.1"
"2009","S01001791","Citizens Advice Bureau","Public Transport","61.4"
"2009","S01001791","Chemists And Pharmacies","Public Transport","23.1"
"2009","S01001791","Further Education Establishment","Public Transport","21.2"
"2009","S01001791","General Store","Public Transport","29.9"
"2006","S01001791","GP","Public Transport","20.4"
"2012","S01001791","GP","Public Transport","17.2"
"2009","S01001791","GP","Public Transport","18.3"
"2009","S01001791","Higher Education Establishment","Public Transport","31.8"
"2009","S01001791","Jobcentre Plus","Public Transport","35.1"
"2009","S01001791","Library","Public Transport","12.7"
"2009","S01001791","Nursery","Public Transport","13.1"
"2009","S01001791","Police Station","Public Transport","12.7"
"2012","S01001791","Post Office","Public Transport","12.8"
"2009","S01001791","Post Office","Public Transport","12.8"
"2006","S01001791","Post Office","Public Transport","11.2"
"2012","S01001791","Shopping Facilities","Public Transport","11.6"
"2009","S01001791","Shopping Facilities","Public Transport","12.8"
"2006","S01001791","Shopping Facilities","Public Transport","10.5"
"2009","S01001791","Banks And Building Societies","Public Transport","12.3"
"2007","S01001792","General Store","Car","12.5"
"2012","S01001792","Post Office","Car","2.6"
"2006","S01001792","Primary School","Car","1.1"
"2007","S01001792","Primary School","Car","1.1"
"2009","S01001792","Primary School","Car","0.3"
"2012","S01001792","Primary School","Car","1.7"
"2003","S01001792","Primary School","Car","2.1"
"2012","S01001792","Secondary School","Car","2.8"
"2007","S01001792","Secondary School","Car","3.1"
"2006","S01001792","Secondary School","Car","3.1"
"2009","S01001792","Secondary School","Car","1.2"
"2007","S01001792","Bank Or Building Society","Car","1.8"
"2012","S01001792","Shopping Facilities","Car","2.5"
"2003","S01001792","GP","Car","6.7"
