"year","zone","destination","method","mean"
"2009","S01001922","Police Station","Car","4.6"
"2007","S01001922","Police Station","Car","7.7"
"2009","S01001922","Post Office","Car","0.6"
"2007","S01001922","Post Office","Car","1.4"
"2006","S01001922","Post Office","Car","1.4"
"2009","S01001922","Bank Or Building Society","Car","3.6"
"2009","S01001922","General Store","Car","0.6"
"2003","S01001922","Post Office","Car","1.6"
"2009","S01001922","Cash Machine","Public Transport","17.7"
"2009","S01001922","Citizens Advice Bureau","Public Transport","62.8"
"2009","S01001922","Chemists And Pharmacies","Public Transport","14.3"
"2009","S01001922","Further Education Establishment","Public Transport","37.6"
"2009","S01001922","General Store","Public Transport","5.6"
"2006","S01001922","GP","Public Transport","4.3"
"2012","S01001922","GP","Public Transport","4.7"
"2009","S01001922","GP","Public Transport","4.5"
"2009","S01001922","Higher Education Establishment","Public Transport","37.3"
"2009","S01001922","Jobcentre Plus","Public Transport","29.3"
"2009","S01001922","Library","Public Transport",27
"2009","S01001922","Nursery","Public Transport","17.8"
"2009","S01001922","Police Station","Public Transport","26.8"
"2012","S01001922","Post Office","Public Transport","5.6"
"2009","S01001922","Post Office","Public Transport","5.6"
"2006","S01001922","Post Office","Public Transport","4.9"
"2012","S01001922","Shopping Facilities","Public Transport","25.2"
"2009","S01001922","Shopping Facilities","Public Transport","26.1"
"2006","S01001922","Shopping Facilities","Public Transport","14.4"
"2009","S01001922","Banks And Building Societies","Public Transport",21
"2007","S01001923","General Store","Car","0.5"
"2012","S01001923","Post Office","Car","2.4"
"2006","S01001923","Primary School","Car","1.4"
"2007","S01001923","Primary School","Car","1.4"
"2009","S01001923","Primary School","Car","0.5"
"2012","S01001923","Primary School","Car","3.6"
"2003","S01001923","Primary School","Car","1.7"
"2012","S01001923","Secondary School","Car","2.8"
"2007","S01001923","Secondary School","Car","2.5"
"2006","S01001923","Secondary School","Car","2.5"
"2009","S01001923","Secondary School","Car","1.1"
"2007","S01001923","Bank Or Building Society","Car","1.5"
"2012","S01001923","Shopping Facilities","Car","4.7"
"2003","S01001923","GP","Car","2.1"
"2007","S01001923","Citizens Advice Bureau","Car","10.1"
"2007","S01001923","Shopping Facilities","Car","3.5"
"2006","S01001923","Shopping Facilities","Car","3.5"
"2009","S01001923","Shopping Facilities","Car","1.6"
"2003","S01001923","Supermarket","Car","2.3"
"2006","S01001923","GP","Car","1.3"
"2012","S01001923","GP","Car","3.9"
"2007","S01001923","GP","Car","1.3"
"2009","S01001923","Citizens Advice Bureau","Car","3.4"
"2007","S01001923","Cash Machine","Car","0.8"
"2009","S01001923","GP","Car","0.5"
"2007","S01001923","Higher Education Establishment","Car","1.8"
"2009","S01001923","Chemists And Pharmacies","Car","0.3"
"2009","S01001923","Higher Education Establishment","Car","0.7"
"2009","S01001923","Jobcentre Plus","Car","1.5"
"2009","S01001923","Cash Machine","Car","0.4"
"2007","S01001923","Jobcentre Plus","Car","3.8"
"2009","S01001923","Library","Car","0.3"
"2007","S01001923","Library","Car","0.6"
"2007","S01001923","Chemists And Pharmacies","Car","0.9"
"2007","S01001923","Nursery","Car","0.8"
"2007","S01001923","Further Education Establishment","Car","3.3"
"2009","S01001923","Nursery","Car","0.4"
"2003","S01001923","Petrol Station","Car","3.1"
"2007","S01001923","Petrol Station","Car","1.7"
"2009","S01001923","Petrol Station","Car","0.6"
"2012","S01001923","Petrol Station","Car","3.3"
"2006","S01001923","Petrol Station","Car","1.7"
"2009","S01001923","Further Education Establishment","Car","0.8"
"2009","S01001923","Police Station","Car","1.3"
"2007","S01001923","Police Station","Car","3.1"
"2009","S01001923","Post Office","Car","0.5"
"2007","S01001923","Post Office","Car",1
"2006","S01001923","Post Office","Car",1
"2009","S01001923","Bank Or Building Society","Car","0.6"
"2009","S01001923","General Store","Car","0.2"
"2003","S01001923","Post Office","Car","2.4"
"2009","S01001923","Cash Machine","Public Transport","19.1"
"2009","S01001923","Citizens Advice Bureau","Public Transport","40.4"
"2009","S01001923","Chemists And Pharmacies","Public Transport","9.2"
"2009","S01001923","Further Education Establishment","Public Transport","8.5"
"2009","S01001923","General Store","Public Transport","1.7"
"2006","S01001923","GP","Public Transport","3.6"
"2012","S01001923","GP","Public Transport","4.8"
"2009","S01001923","GP","Public Transport","4.8"
"2009","S01001923","Higher Education Establishment","Public Transport","6.4"
"2009","S01001923","Jobcentre Plus","Public Transport","10.9"
"2009","S01001923","Library","Public Transport","2.5"
"2009","S01001923","Nursery","Public Transport",4
"2009","S01001923","Police Station","Public Transport","11.8"
"2012","S01001923","Post Office","Public Transport","4.1"
"2009","S01001923","Post Office","Public Transport","4.6"
"2006","S01001923","Post Office","Public Transport","4.7"
"2012","S01001923","Shopping Facilities","Public Transport","10.9"
"2009","S01001923","Shopping Facilities","Public Transport","10.9"
"2006","S01001923","Shopping Facilities","Public Transport","14.2"
"2009","S01001923","Banks And Building Societies","Public Transport","5.4"
"2007","S01001924","General Store","Car","2.5"
"2012","S01001924","Post Office","Car","1.3"
"2006","S01001924","Primary School","Car","4.4"
"2007","S01001924","Primary School","Car","4.4"
"2009","S01001924","Primary School","Car","1.9"
"2012","S01001924","Primary School","Car","5.6"
"2003","S01001924","Primary School","Car","5.2"
"2012","S01001924","Secondary School","Car","5.5"
"2007","S01001924","Secondary School","Car","5.5"
"2006","S01001924","Secondary School","Car","5.5"
"2009","S01001924","Secondary School","Car","2.3"
"2007","S01001924","Bank Or Building Society","Car","2.5"
"2012","S01001924","Shopping Facilities","Car","3.6"
"2003","S01001924","GP","Car","2.9"
"2007","S01001924","Citizens Advice Bureau","Car","8.9"
"2007","S01001924","Shopping Facilities","Car","3.3"
"2006","S01001924","Shopping Facilities","Car","3.3"
"2009","S01001924","Shopping Facilities","Car","1.8"
"2003","S01001924","Supermarket","Car","4.9"
"2006","S01001924","GP","Car","2.7"
"2012","S01001924","GP","Car","4.5"
"2007","S01001924","GP","Car","2.7"
"2009","S01001924","Citizens Advice Bureau","Car","3.9"
"2007","S01001924","Cash Machine","Car","2.3"
"2009","S01001924","GP","Car",1
"2007","S01001924","Higher Education Establishment","Car","2.4"
"2009","S01001924","Chemists And Pharmacies","Car",1
"2009","S01001924","Higher Education Establishment","Car","0.9"
"2009","S01001924","Jobcentre Plus","Car","3.1"
"2009","S01001924","Cash Machine","Car","0.9"
"2007","S01001924","Jobcentre Plus","Car","7.4"
"2009","S01001924","Library","Car",1
"2007","S01001924","Library","Car",3
"2007","S01001924","Chemists And Pharmacies","Car","2.5"
"2007","S01001924","Nursery","Car","2.2"
"2007","S01001924","Further Education Establishment","Car","16.4"
"2009","S01001924","Nursery","Car","0.9"
"2003","S01001924","Petrol Station","Car","3.8"
"2007","S01001924","Petrol Station","Car","2.4"
"2009","S01001924","Petrol Station","Car","0.9"
"2012","S01001924","Petrol Station","Car","3.2"
"2006","S01001924","Petrol Station","Car","2.4"
"2009","S01001924","Further Education Establishment","Car","1.1"
"2009","S01001924","Police Station","Car","2.6"
"2007","S01001924","Police Station","Car","6.5"
"2009","S01001924","Post Office","Car","0.3"
"2007","S01001924","Post Office","Car","0.8"
"2006","S01001924","Post Office","Car","0.8"
"2009","S01001924","Bank Or Building Society","Car",1
"2009","S01001924","General Store","Car","0.4"
"2003","S01001924","Post Office","Car","1.1"
"2009","S01001924","Cash Machine","Public Transport","23.3"
"2009","S01001924","Citizens Advice Bureau","Public Transport","47.9"
"2009","S01001924","Chemists And Pharmacies","Public Transport","14.5"
"2009","S01001924","Further Education Establishment","Public Transport","10.8"
"2009","S01001924","General Store","Public Transport","3.8"
"2006","S01001924","GP","Public Transport","6.9"
"2012","S01001924","GP","Public Transport","9.3"
"2009","S01001924","GP","Public Transport","8.4"
"2009","S01001924","Higher Education Establishment","Public Transport","7.1"
"2009","S01001924","Jobcentre Plus","Public Transport","19.9"
"2009","S01001924","Library","Public Transport","10.6"
"2009","S01001924","Nursery","Public Transport","7.2"
"2009","S01001924","Police Station","Public Transport",17
"2012","S01001924","Post Office","Public Transport","3.4"
"2009","S01001924","Post Office","Public Transport","3.6"
"2006","S01001924","Post Office","Public Transport","3.2"
"2012","S01001924","Shopping Facilities","Public Transport","10.1"
"2009","S01001924","Shopping Facilities","Public Transport","8.1"
"2006","S01001924","Shopping Facilities","Public Transport","9.3"
"2009","S01001924","Banks And Building Societies","Public Transport","7.6"
"2007","S01001925","General Store","Car","1.8"
"2012","S01001925","Post Office","Car","3.7"
"2006","S01001925","Primary School","Car","2.2"
"2007","S01001925","Primary School","Car","2.2"
"2009","S01001925","Primary School","Car","0.8"
"2012","S01001925","Primary School","Car","4.1"
"2003","S01001925","Primary School","Car","2.8"
"2012","S01001925","Secondary School","Car",6
"2007","S01001925","Secondary School","Car","5.7"
"2006","S01001925","Secondary School","Car","5.7"
"2009","S01001925","Secondary School","Car","1.7"
"2007","S01001925","Bank Or Building Society","Car","1.6"
"2012","S01001925","Shopping Facilities","Car","3.1"
"2003","S01001925","GP","Car","1.3"
"2007","S01001925","Citizens Advice Bureau","Car","10.2"
"2007","S01001925","Shopping Facilities","Car","0.7"
"2006","S01001925","Shopping Facilities","Car","0.7"
"2009","S01001925","Shopping Facilities","Car","0.7"
"2003","S01001925","Supermarket","Car","2.7"
"2006","S01001925","GP","Car","1.1"
"2012","S01001925","GP","Car","3.4"
"2007","S01001925","GP","Car","1.1"
"2009","S01001925","Citizens Advice Bureau","Car","3.4"
"2007","S01001925","Cash Machine","Car","1.5"
"2009","S01001925","GP","Car","0.3"
"2007","S01001925","Higher Education Establishment","Car","1.3"
"2009","S01001925","Chemists And Pharmacies","Car","0.6"
"2009","S01001925","Higher Education Establishment","Car","0.6"
"2009","S01001925","Jobcentre Plus","Car","2.4"
"2009","S01001925","Cash Machine","Car","0.5"
"2007","S01001925","Jobcentre Plus","Car","7.6"
"2009","S01001925","Library","Car","1.1"
"2007","S01001925","Library","Car","2.9"
"2007","S01001925","Chemists And Pharmacies","Car","1.6"
"2007","S01001925","Nursery","Car","1.1"
"2007","S01001925","Further Education Establishment","Car","13.7"
"2009","S01001925","Nursery","Car","0.9"
"2003","S01001925","Petrol Station","Car","1.5"
"2007","S01001925","Petrol Station","Car","1.8"
"2009","S01001925","Petrol Station","Car","0.7"
"2012","S01001925","Petrol Station","Car",2
"2006","S01001925","Petrol Station","Car","1.8"
"2009","S01001925","Further Education Establishment","Car","1.1"
"2009","S01001925","Police Station","Car","1.7"
"2007","S01001925","Police Station","Car","5.1"
"2009","S01001925","Post Office","Car","1.1"
"2007","S01001925","Post Office","Car","3.2"
"2006","S01001925","Post Office","Car",3
"2009","S01001925","Bank Or Building Society","Car","0.6"
"2009","S01001925","General Store","Car","0.6"
"2003","S01001925","Post Office","Car",2
"2009","S01001925","Cash Machine","Public Transport","19.5"
"2009","S01001925","Citizens Advice Bureau","Public Transport","43.2"
"2009","S01001925","Chemists And Pharmacies","Public Transport","10.7"
"2009","S01001925","Further Education Establishment","Public Transport",12
"2009","S01001925","General Store","Public Transport","5.7"
"2006","S01001925","GP","Public Transport","2.2"
"2012","S01001925","GP","Public Transport","5.5"
"2009","S01001925","GP","Public Transport","3.6"
"2009","S01001925","Higher Education Establishment","Public Transport","5.6"
"2009","S01001925","Jobcentre Plus","Public Transport","17.6"
"2009","S01001925","Library","Public Transport","9.7"
"2009","S01001925","Nursery","Public Transport","7.5"
"2009","S01001925","Police Station","Public Transport","11.9"
"2012","S01001925","Post Office","Public Transport","7.7"
"2009","S01001925","Post Office","Public Transport","7.9"
"2006","S01001925","Post Office","Public Transport","7.5"
"2012","S01001925","Shopping Facilities","Public Transport","6.6"
"2009","S01001925","Shopping Facilities","Public Transport",6
"2006","S01001925","Shopping Facilities","Public Transport","2.5"
"2009","S01001925","Banks And Building Societies","Public Transport","5.4"
"2007","S01001926","General Store","Car","0.9"
"2012","S01001926","Post Office","Car","2.9"
"2006","S01001926","Primary School","Car","1.4"
"2007","S01001926","Primary School","Car","1.5"
"2009","S01001926","Primary School","Car","0.6"
"2012","S01001926","Primary School","Car","3.4"
"2003","S01001926","Primary School","Car","2.2"
"2012","S01001926","Secondary School","Car","2.6"
"2007","S01001926","Secondary School","Car","2.1"
"2006","S01001926","Secondary School","Car","2.1"
"2009","S01001926","Secondary School","Car","0.8"
"2007","S01001926","Bank Or Building Society","Car","1.4"
"2012","S01001926","Shopping Facilities","Car","4.7"
"2003","S01001926","GP","Car","1.9"
"2007","S01001926","Citizens Advice Bureau","Car","10.7"
"2007","S01001926","Shopping Facilities","Car","3.2"
"2006","S01001926","Shopping Facilities","Car","3.2"
"2009","S01001926","Shopping Facilities","Car","1.5"
"2003","S01001926","Supermarket","Car","2.9"
"2006","S01001926","GP","Car","1.2"
"2012","S01001926","GP","Car","3.9"
"2007","S01001926","GP","Car","1.2"
"2009","S01001926","Citizens Advice Bureau","Car","3.6"
"2007","S01001926","Cash Machine","Car","0.8"
"2009","S01001926","GP","Car","0.4"
"2007","S01001926","Higher Education Establishment","Car","1.7"
"2009","S01001926","Chemists And Pharmacies","Car","0.4"
"2009","S01001926","Higher Education Establishment","Car","0.6"
"2009","S01001926","Jobcentre Plus","Car","1.4"
"2009","S01001926","Cash Machine","Car","0.3"
"2007","S01001926","Jobcentre Plus","Car","3.8"
"2009","S01001926","Library","Car","0.4"
"2007","S01001926","Library","Car","1.1"
"2007","S01001926","Chemists And Pharmacies","Car",1
"2007","S01001926","Nursery","Car",1
"2007","S01001926","Further Education Establishment","Car","3.2"
"2009","S01001926","Nursery","Car","0.4"
"2003","S01001926","Petrol Station","Car","3.2"
"2007","S01001926","Petrol Station","Car","1.6"
"2009","S01001926","Petrol Station","Car","0.6"
"2012","S01001926","Petrol Station","Car","3.3"
"2006","S01001926","Petrol Station","Car","1.6"
"2009","S01001926","Further Education Establishment","Car","0.7"
"2009","S01001926","Police Station","Car","1.5"
"2007","S01001926","Police Station","Car","3.5"
"2009","S01001926","Post Office","Car","0.7"
"2007","S01001926","Post Office","Car","1.3"
"2006","S01001926","Post Office","Car","1.3"
"2009","S01001926","Bank Or Building Society","Car","0.5"
"2009","S01001926","General Store","Car","0.3"
"2003","S01001926","Post Office","Car",3
"2009","S01001926","Cash Machine","Public Transport","18.6"
"2009","S01001926","Citizens Advice Bureau","Public Transport","40.9"
"2009","S01001926","Chemists And Pharmacies","Public Transport","9.5"
"2009","S01001926","Further Education Establishment","Public Transport","7.5"
"2009","S01001926","General Store","Public Transport","3.7"
"2006","S01001926","GP","Public Transport","3.5"
"2012","S01001926","GP","Public Transport","4.7"
"2009","S01001926","GP","Public Transport","4.8"
"2009","S01001926","Higher Education Establishment","Public Transport",6
"2009","S01001926","Jobcentre Plus","Public Transport","10.8"
"2009","S01001926","Library","Public Transport","3.7"
"2009","S01001926","Nursery","Public Transport","3.8"
"2009","S01001926","Police Station","Public Transport","11.5"
"2012","S01001926","Post Office","Public Transport","4.4"
"2009","S01001926","Post Office","Public Transport","4.6"
"2006","S01001926","Post Office","Public Transport","3.8"
"2012","S01001926","Shopping Facilities","Public Transport","10.5"
"2009","S01001926","Shopping Facilities","Public Transport","10.7"
"2006","S01001926","Shopping Facilities","Public Transport","7.8"
"2009","S01001926","Banks And Building Societies","Public Transport","5.3"
"2009","S01001927","Police Station","Car","2.7"
"2006","S01001927","Post Office","Car","0.9"
"2007","S01001927","Post Office","Car","0.9"
"2009","S01001927","Post Office","Car","0.4"
"2012","S01001927","Post Office","Car","1.8"
"2003","S01001927","Post Office","Car","2.3"
"2009","S01001927","Primary School","Car","1.5"
"2007","S01001927","Primary School","Car","4.3"
"2012","S01001927","Primary School","Car","5.6"
"2003","S01001927","Primary School","Car","5.6"
"2006","S01001927","Primary School","Car","4.3"
"2007","S01001927","Secondary School","Car","4.9"
"2006","S01001927","Secondary School","Car","4.9"
"2012","S01001927","Secondary School","Car","5.5"
"2009","S01001927","Secondary School","Car","1.9"
"2007","S01001927","Shopping Facilities","Car","3.1"
"2012","S01001927","Shopping Facilities","Car","3.6"
"2006","S01001927","Shopping Facilities","Car","3.1"
"2009","S01001927","Shopping Facilities","Car","1.5"
"2003","S01001927","Supermarket","Car","5.2"
"2007","S01001927","Cash Machine","Car","2.8"
"2009","S01001927","Cash Machine","Car","1.2"
"2007","S01001927","Bank Or Building Society","Car","2.9"
"2009","S01001927","Bank Or Building Society","Car","1.2"
"2007","S01001927","Citizens Advice Bureau","Car","7.9"
"2009","S01001927","Citizens Advice Bureau","Car","3.4"
"2009","S01001927","Chemists And Pharmacies","Car","1.2"
"2007","S01001927","Chemists And Pharmacies","Car","2.9"
"2007","S01001927","Further Education Establishment","Car","17.4"
"2009","S01001927","Further Education Establishment","Car","1.6"
"2007","S01001927","General Store","Car","3.1"
"2009","S01001927","General Store","Car","0.3"
"2003","S01001927","GP","Car","3.9"
"2006","S01001927","GP","Car","3.1"
"2007","S01001927","GP","Car","3.2"
"2009","S01001927","GP","Car","1.3"
"2012","S01001927","GP","Car","4.7"
"2009","S01001927","Higher Education Establishment","Car",1
"2007","S01001927","Higher Education Establishment","Car","2.8"
"2009","S01001927","Jobcentre Plus","Car","2.8"
"2007","S01001927","Jobcentre Plus","Car","6.7"
"2009","S01001927","Library","Car","1.2"
"2007","S01001927","Library","Car",3
"2007","S01001927","Nursery","Car","1.7"
"2009","S01001927","Nursery","Car","0.6"
"2003","S01001927","Petrol Station","Car","4.7"
"2007","S01001927","Petrol Station","Car","2.4"
"2006","S01001927","Petrol Station","Car","2.4"
"2012","S01001927","Petrol Station","Car",4
"2009","S01001927","Petrol Station","Car",1
"2007","S01001927","Police Station","Car","6.6"
"2009","S01001927","Cash Machine","Public Transport","23.6"
"2012","S01001927","Post Office","Public Transport","3.3"
"2009","S01001927","Police Station","Public Transport","17.4"
"2009","S01001927","GP","Public Transport","8.8"
"2006","S01001927","GP","Public Transport","9.1"
"2009","S01001927","Nursery","Public Transport",6
"2009","S01001927","Citizens Advice Bureau","Public Transport","47.7"
"2009","S01001927","Higher Education Establishment","Public Transport","7.9"
"2006","S01001927","Post Office","Public Transport","3.3"
"2009","S01001927","Chemists And Pharmacies","Public Transport","14.2"
"2009","S01001927","Banks And Building Societies","Public Transport","8.3"
"2009","S01001927","Jobcentre Plus","Public Transport","19.7"
"2012","S01001927","Shopping Facilities","Public Transport","9.8"
"2009","S01001927","Further Education Establishment","Public Transport","12.8"
"2009","S01001927","General Store","Public Transport","3.2"
"2009","S01001927","Post Office","Public Transport","3.5"
"2009","S01001927","Shopping Facilities","Public Transport","9.2"
"2006","S01001927","Shopping Facilities","Public Transport","10.1"
"2009","S01001927","Library","Public Transport","11.2"
"2012","S01001927","GP","Public Transport","8.6"
"2007","S01001928","General Store","Car","5.7"
"2012","S01001928","Post Office","Car","2.1"
"2006","S01001928","Primary School","Car","1.7"
"2007","S01001928","Primary School","Car","1.8"
"2009","S01001928","Primary School","Car","0.7"
"2012","S01001928","Primary School","Car","3.4"
"2003","S01001928","Primary School","Car","2.1"
"2012","S01001928","Secondary School","Car","4.5"
"2007","S01001928","Secondary School","Car","3.4"
"2006","S01001928","Secondary School","Car","3.4"
"2009","S01001928","Secondary School","Car","1.1"
"2007","S01001928","Bank Or Building Society","Car","0.6"
"2012","S01001928","Shopping Facilities","Car","1.9"
"2003","S01001928","GP","Car","1.1"
"2007","S01001928","Citizens Advice Bureau","Car","4.7"
"2007","S01001928","Shopping Facilities","Car","0.4"
"2006","S01001928","Shopping Facilities","Car","0.4"
"2009","S01001928","Shopping Facilities","Car","0.3"
"2003","S01001928","Supermarket","Car",1
"2006","S01001928","GP","Car","0.7"
"2012","S01001928","GP","Car","3.1"
"2007","S01001928","GP","Car","0.7"
"2009","S01001928","Citizens Advice Bureau","Car","1.9"
"2007","S01001928","Cash Machine","Car","0.6"
"2009","S01001928","GP","Car","0.3"
"2007","S01001928","Higher Education Establishment","Car","2.2"
"2009","S01001928","Chemists And Pharmacies","Car","0.3"
"2009","S01001928","Higher Education Establishment","Car","0.9"
"2009","S01001928","Jobcentre Plus","Car","1.7"
"2009","S01001928","Cash Machine","Car","0.2"
"2007","S01001928","Jobcentre Plus","Car","5.2"
"2009","S01001928","Library","Car","0.3"
"2007","S01001928","Library","Car",1
"2007","S01001928","Chemists And Pharmacies","Car","0.8"
"2007","S01001928","Nursery","Car","0.9"
"2007","S01001928","Further Education Establishment","Car","16.1"
"2009","S01001928","Nursery","Car","0.4"
"2003","S01001928","Petrol Station","Car","2.1"
"2007","S01001928","Petrol Station","Car","3.1"
"2009","S01001928","Petrol Station","Car","1.1"
"2012","S01001928","Petrol Station","Car","4.7"
"2006","S01001928","Petrol Station","Car","3.1"
"2009","S01001928","Further Education Establishment","Car","0.9"
"2009","S01001928","Police Station","Car","2.2"
"2007","S01001928","Police Station","Car","6.6"
"2009","S01001928","Post Office","Car","0.3"
"2007","S01001928","Post Office","Car","0.9"
"2006","S01001928","Post Office","Car","0.9"
"2009","S01001928","Bank Or Building Society","Car","0.2"
"2009","S01001928","General Store","Car","0.6"
"2003","S01001928","Post Office","Car","1.1"
"2009","S01001928","Cash Machine","Public Transport","18.5"
"2009","S01001928","Citizens Advice Bureau","Public Transport","40.3"
"2009","S01001928","Chemists And Pharmacies","Public Transport","8.9"
"2009","S01001928","Further Education Establishment","Public Transport","8.7"
"2009","S01001928","General Store","Public Transport","5.7"
"2006","S01001928","GP","Public Transport","4.1"
"2012","S01001928","GP","Public Transport","2.9"
"2009","S01001928","GP","Public Transport","3.1"
"2009","S01001928","Higher Education Establishment","Public Transport","8.3"
"2009","S01001928","Jobcentre Plus","Public Transport","13.3"
"2009","S01001928","Library","Public Transport","3.5"
"2009","S01001928","Nursery","Public Transport",4
"2009","S01001928","Police Station","Public Transport",14
"2012","S01001928","Post Office","Public Transport","3.5"
"2009","S01001928","Post Office","Public Transport","3.7"
"2006","S01001928","Post Office","Public Transport","3.5"
"2012","S01001928","Shopping Facilities","Public Transport","3.2"
"2009","S01001928","Shopping Facilities","Public Transport","3.6"
"2006","S01001928","Shopping Facilities","Public Transport","1.4"
"2009","S01001928","Banks And Building Societies","Public Transport","2.2"
"2007","S01001929","General Store","Car","5.3"
"2012","S01001929","Post Office","Car","1.8"
"2006","S01001929","Primary School","Car","2.7"
"2007","S01001929","Primary School","Car","2.7"
"2009","S01001929","Primary School","Car",1
"2012","S01001929","Primary School","Car","4.6"
"2003","S01001929","Primary School","Car","3.5"
"2012","S01001929","Secondary School","Car","3.6"
"2007","S01001929","Secondary School","Car",5
"2006","S01001929","Secondary School","Car",5
"2009","S01001929","Secondary School","Car","1.8"
"2007","S01001929","Bank Or Building Society","Car","3.8"
"2012","S01001929","Shopping Facilities","Car",5
"2003","S01001929","GP","Car",1
"2007","S01001929","Citizens Advice Bureau","Car",6
"2007","S01001929","Shopping Facilities","Car","2.7"
"2006","S01001929","Shopping Facilities","Car","2.8"
"2009","S01001929","Shopping Facilities","Car",2
"2003","S01001929","Supermarket","Car","5.1"
"2006","S01001929","GP","Car","0.7"
"2012","S01001929","GP","Car","2.1"
"2007","S01001929","GP","Car","0.7"
"2009","S01001929","Citizens Advice Bureau","Car","2.6"
"2007","S01001929","Cash Machine","Car","0.7"
"2009","S01001929","GP","Car","0.3"
"2007","S01001929","Higher Education Establishment","Car","2.8"
"2009","S01001929","Chemists And Pharmacies","Car","0.5"
"2009","S01001929","Higher Education Establishment","Car","0.7"
"2009","S01001929","Jobcentre Plus","Car","3.3"
"2009","S01001929","Cash Machine","Car","0.3"
"2007","S01001929","Jobcentre Plus","Car","8.4"
"2009","S01001929","Library","Car","2.2"
"2007","S01001929","Library","Car","5.5"
"2007","S01001929","Chemists And Pharmacies","Car","1.2"
"2007","S01001929","Nursery","Car","1.1"
"2007","S01001929","Further Education Establishment","Car","11.8"
"2009","S01001929","Nursery","Car","0.4"
"2003","S01001929","Petrol Station","Car","1.2"
"2007","S01001929","Petrol Station","Car","3.2"
"2009","S01001929","Petrol Station","Car","0.8"
"2012","S01001929","Petrol Station","Car","4.2"
"2006","S01001929","Petrol Station","Car","3.1"
"2009","S01001929","Further Education Establishment","Car","2.2"
"2009","S01001929","Police Station","Car","2.8"
"2007","S01001929","Police Station","Car","7.2"
"2009","S01001929","Post Office","Car","0.5"
"2007","S01001929","Post Office","Car","1.2"
"2006","S01001929","Post Office","Car","1.2"
"2009","S01001929","Bank Or Building Society","Car","0.9"
"2009","S01001929","General Store","Car","0.4"
"2003","S01001929","Post Office","Car","1.6"
"2009","S01001929","Cash Machine","Public Transport","18.2"
"2009","S01001929","Citizens Advice Bureau","Public Transport","35.3"
"2009","S01001929","Chemists And Pharmacies","Public Transport","10.3"
"2009","S01001929","Further Education Establishment","Public Transport","9.5"
"2009","S01001929","General Store","Public Transport","3.7"
"2006","S01001929","GP","Public Transport",3
"2012","S01001929","GP","Public Transport","2.8"
"2009","S01001929","GP","Public Transport","2.8"
"2009","S01001929","Higher Education Establishment","Public Transport",7
"2009","S01001929","Jobcentre Plus","Public Transport","15.4"
"2009","S01001929","Library","Public Transport","11.1"
"2009","S01001929","Nursery","Public Transport","3.5"
"2009","S01001929","Police Station","Public Transport","13.2"
"2012","S01001929","Post Office","Public Transport","4.2"
"2009","S01001929","Post Office","Public Transport",4
"2006","S01001929","Post Office","Public Transport","3.8"
"2012","S01001929","Shopping Facilities","Public Transport","10.3"
"2009","S01001929","Shopping Facilities","Public Transport","9.6"
"2006","S01001929","Shopping Facilities","Public Transport","9.8"
"2009","S01001929","Banks And Building Societies","Public Transport","7.3"
"2007","S01001930","General Store","Car","5.7"
"2012","S01001930","Post Office","Car","1.5"
"2006","S01001930","Primary School","Car","1.7"
"2007","S01001930","Primary School","Car","1.7"
"2009","S01001930","Primary School","Car","0.6"
"2012","S01001930","Primary School","Car","3.4"
"2003","S01001930","Primary School","Car","2.4"
"2012","S01001930","Secondary School","Car","4.4"
"2007","S01001930","Secondary School","Car","3.4"
"2006","S01001930","Secondary School","Car","3.4"
"2009","S01001930","Secondary School","Car","1.1"
"2007","S01001930","Bank Or Building Society","Car","0.5"
"2012","S01001930","Shopping Facilities","Car","1.4"
"2003","S01001930","GP","Car","1.6"
"2007","S01001930","Citizens Advice Bureau","Car","4.7"
"2007","S01001930","Shopping Facilities","Car","0.4"
"2006","S01001930","Shopping Facilities","Car","0.4"
"2009","S01001930","Shopping Facilities","Car","0.2"
"2003","S01001930","Supermarket","Car","1.2"
"2006","S01001930","GP","Car","0.8"
"2012","S01001930","GP","Car",3
"2007","S01001930","GP","Car","0.8"
"2009","S01001930","Citizens Advice Bureau","Car","1.9"
"2007","S01001930","Cash Machine","Car","0.4"
"2009","S01001930","GP","Car","0.3"
"2007","S01001930","Higher Education Establishment","Car",2
"2009","S01001930","Chemists And Pharmacies","Car","0.2"
"2009","S01001930","Higher Education Establishment","Car","0.9"
"2009","S01001930","Jobcentre Plus","Car","1.7"
"2009","S01001930","Cash Machine","Car","0.1"
"2007","S01001930","Jobcentre Plus","Car","5.3"
"2009","S01001930","Library","Car","0.3"
"2007","S01001930","Library","Car","0.9"
"2007","S01001930","Chemists And Pharmacies","Car","0.6"
"2007","S01001930","Nursery","Car","0.7"
"2007","S01001930","Further Education Establishment","Car","16.4"
"2009","S01001930","Nursery","Car","0.2"
"2003","S01001930","Petrol Station","Car","1.9"
"2007","S01001930","Petrol Station","Car",3
"2009","S01001930","Petrol Station","Car","1.1"
"2012","S01001930","Petrol Station","Car","4.4"
"2006","S01001930","Petrol Station","Car",3
"2009","S01001930","Further Education Establishment","Car","0.9"
"2009","S01001930","Police Station","Car","2.1"
"2007","S01001930","Police Station","Car","6.6"
"2009","S01001930","Post Office","Car","0.2"
"2007","S01001930","Post Office","Car","0.6"
"2006","S01001930","Post Office","Car","0.6"
"2009","S01001930","Bank Or Building Society","Car","0.1"
